,Количество км,Вид доставки,Время суток,Наличие грузчика,Стоимость
0,8782.0,Минивэн,Ночь,0,1492.39
1,9861.0,Легковой,Ночь,1,2450.6
2,2193.0,Легковой,Рабочее время,1,882.88
3,5397.0,Удлиненная газель,Рабочее время,0,827.47
4,11800.0,Легковой,Раннее утро/поздний вечер,0,1430.39
5,3348.0,Легковой,Раннее утро/поздний вечер,0,428.41
6,10608.0,Минивэн,Раннее утро/поздний вечер,0,1588.12
7,7619.0,Минивэн,Ночь,1,2259.09
8,5071.0,Легковой,Раннее утро/поздний вечер,0,770.98
9,2998.0,Легковой,Рабочее время,0,228.26
10,2329.0,Газель,Ночь,0,499.28
11,4314.0,Минивэн,Рабочее время,1,1154.22
12,4360.0,Удлиненная газель,Раннее утро/поздний вечер,1,1610.24
13,9642.0,Удлиненная газель,Рабочее время,1,2041.67
14,8101.0,Удлиненная газель,Рабочее время,0,1360.76
15,14032.0,Удлиненная газель,Ночь,1,4132.22
16,4037.0000000000005,Минивэн,Ночь,0,816.59
17,1296.0,Газель,Рабочее время,1,825.51
18,13467.0,Легковой,Рабочее время,0,1437.35
19,7402.0,Легковой,Ночь,1,2141.87
20,2875.0,Легковой,Раннее утро/поздний вечер,1,964.67
21,3535.0,Минивэн,Раннее утро/поздний вечер,1,1154.99
22,10016.0,Минивэн,Раннее утро/поздний вечер,1,2215.92
23,4569.000000000001,Легковой,Раннее утро/поздний вечер,1,1348.57
24,4912.0,Удлиненная газель,Ночь,1,1971.92
25,8315.0,Удлиненная газель,Раннее утро/поздний вечер,0,1494.72
26,6788.0,Легковой,Раннее утро/поздний вечер,0,867.71
27,8149.000000000001,Удлиненная газель,Рабочее время,1,1888.92
28,13568.0,Минивэн,Ночь,1,3278.06
29,2656.0,Легковой,Раннее утро/поздний вечер,0,335.75
30,8635.0,Удлиненная газель,Ночь,1,2764.8
31,15824.0,Минивэн,Раннее утро/поздний вечер,0,2334.47
32,9735.0,Легковой,Раннее утро/поздний вечер,1,1935.18
33,4635.0,Газель,Рабочее время,0,575.42
34,13314.0,Легковой,Рабочее время,0,1323.73
35,6645.0,Минивэн,Рабочее время,1,1335.05
36,8463.0,Удлиненная газель,Рабочее время,0,1263.39
37,3753.0,Минивэн,Ночь,1,1532.57
38,10740.0,Удлиненная газель,Ночь,1,3199.9
39,14226.0,Газель,Ночь,1,3796.18
40,7928.0,Минивэн,Рабочее время,1,1597.77
41,7373.0,Удлиненная газель,Рабочее время,0,1143.35
42,14721.0,Легковой,Рабочее время,0,1481.28
43,10773.0,Удлиненная газель,Рабочее время,0,1632.82
44,7064.0,Минивэн,Ночь,1,2244.25
45,6429.0,Минивэн,Ночь,1,2018.53
46,10747.0,Минивэн,Раннее утро/поздний вечер,0,1477.06
47,7038.0,Удлиненная газель,Рабочее время,0,1117.8
48,6476.0,Удлиненная газель,Рабочее время,0,946.17
49,8897.0,Удлиненная газель,Раннее утро/поздний вечер,1,2267.38
50,11949.0,Газель,Ночь,0,2178.88
51,6920.0,Газель,Рабочее время,0,860.49
52,2816.0,Минивэн,Рабочее время,1,936.1
53,9694.0,Газель,Раннее утро/поздний вечер,0,1553.74
54,12683.0,Легковой,Раннее утро/поздний вечер,0,1602.87
55,7749.0,Удлиненная газель,Ночь,1,2578.93
56,6014.0,Газель,Ночь,1,2264.19
